Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Shops_2,Rooms_outlier,HouseFloor_outlier,HouseYear_outlier,LifeSquare_nan,DistrictSize,new_district,IsDistrictLarge,MedPriceByDistrict,MedPriceByFloorYear
1.0,43.380797570367406,39.773838988120715,5.0,18,25.0,1977,0.075778755,1,1,6,1437,3,0,2,1,0,0,0,1,372,0,1,104300.89360893519,171739.19921978915
3.0,83.59636479558252,79.98940621333583,5.0,3,16.0,1977,7.81528e-05,1,1,22,6398,141,3,23,1,0,0,0,1,148,0,1,197241.12388996888,180382.19663356265
2.0,53.6105832418881,31.289235010795213,8.0,10,12.0,1979,0.298204575,1,1,16,4048,3,1,3,1,0,1,0,0,64,0,0,228796.54255505846,181467.96476949815
2.0,51.87757581829592,30.075022452197253,6.0,3,9.0,1974,0.265088676,1,1,37,5288,0,3,2,1,0,0,0,0,44,0,0,184712.77017163177,180382.19663356265
1.0,53.810967857588345,50.204009275341654,5.0,4,13.0,1977,0.072157581,1,1,2,629,1,0,0,0,0,1,0,1,164,0,1,131107.27196192677,189145.45109120343
3.0,66.20978628063007,42.34239223168182,8.0,5,9.0,1976,0.18878376600000002,1,1,31,6137,4,0,1,1,0,0,0,0,53,0,0,320748.55569443153,189145.45109120343
3.0,54.03655417004539,43.89127181526205,8.0,6,21.0,2017,0.093442564,1,1,23,4635,5,2,4,1,0,0,0,0,44,0,0,448575.3340436623,178912.36908081267
2.0,57.656844295909316,36.46387501034313,9.0,10,17.0,2004,0.002211665,1,1,39,7614,3,1,5,0,0,0,0,0,17,0,0,221536.26708582882,254236.32508556198
1.0,43.70628862908537,21.096625075696107,8.0,5,14.0,1990,0.136244425,1,1,11,2370,0,0,1,1,0,0,0,0,194,0,1,139025.78503488025,217602.69968302205
1.0,40.44683742009196,39.778743634360296,5.0,15,17.0,2014,0.24320451899999998,1,1,5,1564,0,0,0,1,0,0,0,0,345,0,1,131151.38600978858,179466.09423541973
1.0,43.22212859441953,23.44215889148144,8.0,12,12.0,1975,0.00016967599999999998,1,1,36,5992,0,1,1,1,0,0,0,0,86,0,0,156717.72231392798,181467.96476949815
2.0,54.101740874496095,34.95824112466212,9.0,4,12.0,1974,0.319809354,1,1,25,4756,16,5,8,1,0,0,0,0,10,0,0,267929.2513286659,189145.45109120343
2.0,39.219848126999004,27.95450790651287,6.0,9,12.0,1970,0.371148999,1,1,34,7065,1,2,5,1,0,0,0,0,65,0,0,241279.0649899604,192086.8226061738
2.0,49.19033982853218,35.8291931324669,9.0,7,14.0,1971,0.012338886,1,1,35,5776,1,2,4,1,0,0,0,0,86,0,0,199436.51251826299,192086.8226061738
2.0,61.854475552113286,58.247516969866595,5.0,5,17.0,1977,0.371148999,1,1,34,7065,1,2,5,1,0,0,0,1,94,0,0,168723.59916172136,189145.45109120343
1.0,44.64755275811949,24.957994370578863,9.0,2,17.0,2016,0.24320451899999998,1,1,5,1564,0,0,0,1,0,1,0,0,345,0,1,131151.38600978858,176912.07860305184
2.0,44.41465213891578,31.68180546311483,5.0,1,9.0,1972,0.127811589,1,1,28,7287,5,1,3,1,0,1,0,0,47,0,0,209423.3982276428,180382.19663356265
3.0,88.55526065730764,81.34134349281426,10.0,5,22.0,2017,0.0071223169999999995,1,1,1,264,0,0,1,1,0,0,0,1,445,0,1,241383.6240674414,165526.307915045
2.0,47.88941591424847,29.316855739973878,6.0,4,9.0,1981,0.219006007,1,1,28,6746,3,1,4,1,0,0,0,0,85,0,0,204352.46025654644,217602.69968302205
1.0,42.805164205279326,39.198205623032635,5.0,11,13.0,1977,0.072157581,1,1,2,629,1,0,0,0,0,1,0,1,164,0,1,131107.27196192677,181467.96476949815
2.0,48.60721742620991,32.92446069365308,6.0,8,9.0,1969,0.020741326,1,1,24,5613,5,2,5,1,0,0,0,0,29,0,0,228888.1159254323,192086.8226061738
1.0,34.202965169550204,20.95717678991849,8.0,9,9.0,1966,0.14890389099999998,1,1,9,1952,1,3,2,1,0,0,0,0,117,0,1,121387.71128937096,192086.8226061738
2.0,54.56786243128815,34.64373715015468,8.0,10,12.0,1983,6.99893e-05,1,1,46,10309,1,1,16,1,0,0,0,0,55,0,0,215452.96888352933,237885.89122667816
1.0,37.13732861038022,20.090204956495707,6.0,13,17.0,2011,0.041116354,1,1,53,14892,4,1,4,1,0,0,0,0,51,0,0,147456.16058131488,179466.09423541973
3.0,65.14633426384522,42.05555201775753,8.0,8,9.0,1978,0.194489265,1,1,47,8004,3,3,5,1,0,1,0,0,117,0,1,241677.5411269828,192086.8226061738
2.0,44.86873659515982,32.68650907971943,5.0,5,5.0,1961,0.0,1,1,36,6714,2,0,2,1,0,0,0,0,49,0,0,197350.1468066915,189145.45109120343
1.0,36.50979061118449,20.174542252515696,9.0,3,12.0,1969,0.12209034699999999,1,1,29,6566,7,4,0,1,0,0,0,0,30,0,0,180351.77357277952,180382.19663356265
5.0,118.871951667832,69.0235091916382,10.0,15,16.0,1998,0.09229064199999999,1,1,21,4346,2,1,2,1,0,0,0,0,36,0,0,496026.671161636,237885.89122667816
2.0,92.40000684071423,92.06923622776027,10.0,2,5.0,1977,0.07542368,1,1,11,3097,0,0,0,1,0,0,0,0,580,0,1,165993.29245046596,180382.19663356265
2.0,54.267396709172594,33.95379080272393,9.0,17,17.0,1987,0.041365446,1,1,31,5569,0,1,4,1,0,0,0,0,40,0,0,229712.41663623642,281843.2505443552
3.0,82.67693253331308,79.06997395106639,5.0,5,13.0,1977,0.049637257000000004,1,1,34,7759,0,1,3,1,0,1,0,1,116,0,1,345811.7965869635,189145.45109120343
2.0,82.88090883765395,84.51271902982118,5.0,19,22.0,2020,0.195781053,1,1,23,5212,6,3,2,1,0,0,0,0,79,0,0,329815.68074626534,192555.49709032386
3.0,93.186137710447,38.09235425351963,5.0,2,2.0,2018,7.81528e-05,1,1,22,6398,141,3,23,1,0,0,0,0,148,0,1,197241.12388996888,176912.07860305184
1.0,38.34487292063137,34.73791433838468,5.0,10,17.0,1977,0.24320451899999998,1,1,5,1564,0,0,0,1,0,0,0,1,345,0,1,131151.38600978858,181467.96476949815
2.0,37.22935937621509,22.581708508811733,7.0,3,12.0,1969,0.038692987000000005,1,1,28,6533,1,2,5,1,0,0,0,0,86,0,0,199436.51251826299,180382.19663356265
1.0,38.58176761774386,34.97480903549717,5.0,12,17.0,1977,0.371148999,1,1,34,7065,1,2,5,1,0,0,0,1,94,0,0,128976.01129552058,181467.96476949815
3.0,62.8090023365077,41.097848115792935,5.0,2,5.0,1968,0.309479124,1,1,35,7715,4,0,6,1,0,1,0,0,58,0,0,314153.3128464385,180382.19663356265
2.0,53.135523413205604,31.30434732693636,10.0,5,16.0,1979,0.194489265,1,1,47,8004,3,3,5,1,0,0,0,0,117,0,1,182602.28698322122,189145.45109120343
2.0,55.35960046584261,53.55566763230959,5.0,10,17.0,2016,0.24320451899999998,1,1,5,1564,0,0,0,1,0,1,0,0,345,0,1,178456.97357523238,179466.09423541973
2.0,55.681776413210144,32.43445241809937,8.0,12,12.0,1995,0.033493708,1,1,66,10573,1,3,8,1,0,0,0,0,11,0,0,227042.84531698105,237885.89122667816
3.0,86.27987505079798,86.386228356378,5.0,7,17.0,2019,0.072157581,1,1,2,629,1,0,0,0,0,0,0,0,164,0,1,214426.40975734207,178912.36908081267
2.0,37.903884839747185,25.732223444650515,6.0,10,12.0,1970,0.458174486,1,0,26,4439,1,1,5,1,0,0,0,0,85,0,0,204352.46025654644,181467.96476949815
2.0,56.49820971258748,34.97492518530043,8.0,7,12.0,1983,0.041124634,1,1,46,9515,5,1,10,1,0,0,0,0,60,0,0,272671.89016792487,234076.0658760037
3.0,74.47287096170892,45.589962423838294,9.0,12,17.0,1986,0.0,1,1,23,5067,4,2,6,1,0,0,0,0,25,0,0,421899.00768154627,237885.89122667816
4.0,82.36822422414566,57.29085952227472,7.0,3,10.0,1959,0.20014680199999998,1,1,23,3975,8,2,0,1,0,0,0,0,19,0,0,496995.4518855853,180382.19663356265
1.0,27.331108330198926,23.724149747952236,5.0,10,12.0,1977,0.034656082000000005,1,1,0,168,0,0,0,1,0,0,0,1,372,0,1,104300.89360893519,181467.96476949815
3.0,83.91835360095497,52.000539530281344,8.0,5,9.0,2000,0.041116354,1,1,53,14892,4,1,4,1,0,0,0,0,580,0,1,207858.57125868363,217602.69968302205
1.0,36.91672687362068,21.837893403692426,9.0,7,12.0,1973,0.307466659,1,0,30,5048,9,2,5,1,0,0,0,0,50,0,0,174436.5219641133,192086.8226061738
